neighborhood,avg_rental_price,gross_income,avg_age
Baro de Viver,532.12,11486,40.11
Can Baro,756.5,19899,44.48
Can Peguera,550.54,12330.5,44.36
Canyelles,742.36,17804.2,48.08
Ciutat Meridiana,525.7,10054,39.59
Diagonal Mar i el Front Maritim del Poblenou,1073.7,25008.29,39.7
el Baix Guinardo,823.69,21352.58,46.2
el Barri Gotic,946.26,16996.56,38.53
el Besos i el Maresme,710.43,13337.23,41.8
el Bon Pastor,685.44,15347.43,40.45
el Camp de l'Arpa del Clot,820.78,20768.36,45.08
el Camp d'en Grassot i Gracia Nova,892.89,24968.52,45.16
el Carmel,674.86,14562.64,43.94
el Clot,824,20685.29,44.44
el Coll,763.05,20089.2,43.54
el Congres i els Indians,774.82,19522.78,44.86
el Guinardo,809.02,20592.32,44.59
el Parc i la Llacuna del Poblenou,975.91,22291.89,44.21
el Poblenou,945.71,22685.75,41.57
el Raval,769.18,12133.38,38.11
el Turo de la Peira,683.16,13868,43.02
Horta,749.39,20233.33,45.42
Hostafrancs,791.33,19508.3,43.23
la Barceloneta,831.9,15986.55,42.28
la Bordeta,831.98,19750.62,45.13
la Clota,873.45,19570,37.69
la Font de la Guatlla,824.06,20268.71,45.69
la Font d'en Fargues,816.32,25398.43,45.19
la Guineueta,676.83,18632.73,47.36
la Marina de Port,743.33,16316.82,43.67
la Maternitat i Sant Ramon,933.87,26054.6,46.09
la Prosperitat,676.54,15163.1,45.49
la Sagrera,767.01,19407.45,45.31
la Salut,888.2,25689.7,44.92
la Teixonera,713.97,16193.88,43.98
la Trinitat Nova,592.76,11707.4,42.12
la Trinitat Vella,607.27,11945,39.3
la Vall d'Hebron,862.11,22864.75,47.38
la Verneda i la Pau,743.49,16520.1,46.65
la Vila de Gracia,901.03,24005.39,42.77
les Corts,1014.73,29606.17,46.19
les Roquetes,621.62,12304.9,40.85
Montbau,740.36,19322.75,46.93
Navas,820.51,20144.31,45.53
Pedralbes,1693.59,42244.71,43.88
Porta,714.73,16506.56,44.57
Provençals del Poblenou,950.49,19156,42.65
Sant Genis dels Agudells,703.85,17196,44.82
Sant Marti de Provençals,806.16,18040.67,46.22
"Sant Pere, Santa Caterina i la Ribera",888.36,18077.54,40.27
Sants,828.75,21666.76,43.77
Torre Baro,574.34,11125,38.42
Vallbona,694.56,11620,37.8
Vallcarca i els Penitents,941.12,26825.27,44.13
Verdun,648.72,13329.75,43.37
Vilapicina i la Torre Llobeta,760.5,18971.63,46.1
