neighborhood,population
el Raval,1311
el Raval,1489
el Raval,3661
el Raval,2972
el Raval,2448
el Raval,1631
el Raval,2015
el Raval,3397
el Raval,2244
el Raval,2501
el Raval,3340
el Raval,1946
el Raval,1471
el Raval,2154
el Raval,2355
el Raval,2159
el Raval,2594
el Raval,1568
el Raval,3005
el Raval,2237
el Raval,2190
el Barri Gotic,1570
el Barri Gotic,2098
el Barri Gotic,1387
el Barri Gotic,8690
el Barri Gotic,1564
el Barri Gotic,1959
el Barri Gotic,1481
el Barri Gotic,2495
el Barri Gotic,1606
la Barceloneta,1862
la Barceloneta,1131
la Barceloneta,962
la Barceloneta,1255
la Barceloneta,1194
la Barceloneta,1381
la Barceloneta,1537
la Barceloneta,1375
la Barceloneta,1089
la Barceloneta,1577
la Barceloneta,1762
"Sant Pere, Santa Caterina i la Ribera",1629
"Sant Pere, Santa Caterina i la Ribera",1425
"Sant Pere, Santa Caterina i la Ribera",2012
"Sant Pere, Santa Caterina i la Ribera",1792
"Sant Pere, Santa Caterina i la Ribera",1781
"Sant Pere, Santa Caterina i la Ribera",2139
"Sant Pere, Santa Caterina i la Ribera",1520
"Sant Pere, Santa Caterina i la Ribera",1544
"Sant Pere, Santa Caterina i la Ribera",1863
"Sant Pere, Santa Caterina i la Ribera",2858
"Sant Pere, Santa Caterina i la Ribera",1862
"Sant Pere, Santa Caterina i la Ribera",1268
"Sant Pere, Santa Caterina i la Ribera",1316
el Fort Pienc,1279
el Fort Pienc,3556
el Fort Pienc,1145
el Fort Pienc,1548
el Fort Pienc,2073
el Fort Pienc,1675
el Fort Pienc,1249
el Fort Pienc,1918
el Fort Pienc,1822
el Fort Pienc,1236
el Fort Pienc,1119
el Fort Pienc,1563
el Fort Pienc,1182
el Fort Pienc,1388
el Fort Pienc,1566
el Fort Pienc,1863
el Fort Pienc,1942
el Fort Pienc,1825
el Fort Pienc,1992
el Fort Pienc,1504
la Sagrada Familia,1507
la Sagrada Familia,1344
la Sagrada Familia,1044
la Sagrada Familia,1160
la Sagrada Familia,1164
la Sagrada Familia,2179
la Sagrada Familia,2080
la Sagrada Familia,2093
la Sagrada Familia,1275
la Sagrada Familia,1350
la Sagrada Familia,1039
la Sagrada Familia,1122
la Sagrada Familia,1222
la Sagrada Familia,1203
la Sagrada Familia,1296
la Sagrada Familia,1189
la Sagrada Familia,1210
la Sagrada Familia,1559
la Sagrada Familia,1721
la Sagrada Familia,1701
la Sagrada Familia,1679
la Sagrada Familia,1569
la Sagrada Familia,1510
la Sagrada Familia,1313
la Sagrada Familia,1159
la Sagrada Familia,1957
la Sagrada Familia,1962
la Sagrada Familia,1300
la Sagrada Familia,2101
la Sagrada Familia,1651
la Sagrada Familia,1943
la Sagrada Familia,1816
la Sagrada Familia,1867
la Sagrada Familia,1879
la Dreta de l'Eixample,1839
la Dreta de l'Eixample,1476
la Dreta de l'Eixample,1271
la Dreta de l'Eixample,1376
la Dreta de l'Eixample,1673
la Dreta de l'Eixample,1738
la Dreta de l'Eixample,1365
la Dreta de l'Eixample,1537
la Dreta de l'Eixample,1209
la Dreta de l'Eixample,1335
la Dreta de l'Eixample,1886
la Dreta de l'Eixample,1737
la Dreta de l'Eixample,1659
la Dreta de l'Eixample,1633
la Dreta de l'Eixample,1373
la Dreta de l'Eixample,1292
la Dreta de l'Eixample,1708
la Dreta de l'Eixample,1202
la Dreta de l'Eixample,1650
la Dreta de l'Eixample,1242
la Dreta de l'Eixample,1301
la Dreta de l'Eixample,1614
la Dreta de l'Eixample,1730
la Dreta de l'Eixample,1376
la Dreta de l'Eixample,1402
la Dreta de l'Eixample,1591
la Dreta de l'Eixample,2128
la Dreta de l'Eixample,901
la Dreta de l'Eixample,1844
l'Antiga Esquerra de l'Eixample,2076
l'Antiga Esquerra de l'Eixample,1417
l'Antiga Esquerra de l'Eixample,1443
l'Antiga Esquerra de l'Eixample,1477
l'Antiga Esquerra de l'Eixample,1664
l'Antiga Esquerra de l'Eixample,1790
l'Antiga Esquerra de l'Eixample,1728
l'Antiga Esquerra de l'Eixample,2076
l'Antiga Esquerra de l'Eixample,2356
l'Antiga Esquerra de l'Eixample,1679
l'Antiga Esquerra de l'Eixample,1518
l'Antiga Esquerra de l'Eixample,1546
l'Antiga Esquerra de l'Eixample,1436
l'Antiga Esquerra de l'Eixample,1084
l'Antiga Esquerra de l'Eixample,1498
l'Antiga Esquerra de l'Eixample,1602
l'Antiga Esquerra de l'Eixample,1338
l'Antiga Esquerra de l'Eixample,2241
l'Antiga Esquerra de l'Eixample,1377
l'Antiga Esquerra de l'Eixample,1635
l'Antiga Esquerra de l'Eixample,1182
l'Antiga Esquerra de l'Eixample,2118
l'Antiga Esquerra de l'Eixample,1406
l'Antiga Esquerra de l'Eixample,1654
l'Antiga Esquerra de l'Eixample,1644
l'Antiga Esquerra de l'Eixample,2061
la Nova Esquerra de l'Eixample,1905
la Nova Esquerra de l'Eixample,1833
la Nova Esquerra de l'Eixample,1304
la Nova Esquerra de l'Eixample,2206
la Nova Esquerra de l'Eixample,1679
la Nova Esquerra de l'Eixample,1350
la Nova Esquerra de l'Eixample,988
la Nova Esquerra de l'Eixample,1215
la Nova Esquerra de l'Eixample,1503
la Nova Esquerra de l'Eixample,1273
la Nova Esquerra de l'Eixample,1163
la Nova Esquerra de l'Eixample,1240
la Nova Esquerra de l'Eixample,1048
la Nova Esquerra de l'Eixample,1123
la Nova Esquerra de l'Eixample,1077
la Nova Esquerra de l'Eixample,1684
la Nova Esquerra de l'Eixample,1476
la Nova Esquerra de l'Eixample,1151
la Nova Esquerra de l'Eixample,1327
la Nova Esquerra de l'Eixample,1516
la Nova Esquerra de l'Eixample,1107
la Nova Esquerra de l'Eixample,1143
la Nova Esquerra de l'Eixample,1053
la Nova Esquerra de l'Eixample,834
la Nova Esquerra de l'Eixample,1478
la Nova Esquerra de l'Eixample,2146
la Nova Esquerra de l'Eixample,892
la Nova Esquerra de l'Eixample,1484
la Nova Esquerra de l'Eixample,1962
la Nova Esquerra de l'Eixample,1678
la Nova Esquerra de l'Eixample,1887
la Nova Esquerra de l'Eixample,1180
la Nova Esquerra de l'Eixample,2045
la Nova Esquerra de l'Eixample,1383
la Nova Esquerra de l'Eixample,1560
la Nova Esquerra de l'Eixample,1240
la Nova Esquerra de l'Eixample,1190
la Nova Esquerra de l'Eixample,2147
la Nova Esquerra de l'Eixample,1611
la Nova Esquerra de l'Eixample,1825
Sant Antoni,1543
Sant Antoni,1505
Sant Antoni,1256
Sant Antoni,1333
Sant Antoni,1087
Sant Antoni,1857
Sant Antoni,1273
Sant Antoni,1217
Sant Antoni,1605
Sant Antoni,1976
Sant Antoni,1993
Sant Antoni,1198
Sant Antoni,1407
Sant Antoni,1845
Sant Antoni,1467
Sant Antoni,1716
Sant Antoni,2119
Sant Antoni,2128
Sant Antoni,2278
Sant Antoni,1535
Sant Antoni,1555
Sant Antoni,1673
Sant Antoni,1601
Sant Antoni,1533
el Poble-sec,1695
el Poble-sec,1908
el Poble-sec,1702
el Poble-sec,1635
el Poble-sec,1205
el Poble-sec,1412
el Poble-sec,1703
el Poble-sec,1180
el Poble-sec,1233
el Poble-sec,1931
el Poble-sec,1774
el Poble-sec,2170
el Poble-sec,1814
el Poble-sec,1819
el Poble-sec,3032
el Poble-sec,1259
el Poble-sec,1700
el Poble-sec,1734
el Poble-sec,1544
el Poble-sec,1206
el Poble-sec,1075
el Poble-sec,1456
el Poble-sec,1936
el Poble-sec,2081
la Marina del Prat Vermell,1356
la Marina de Port,1015
la Marina de Port,1763
la Marina de Port,2664
la Marina de Port,1302
la Marina de Port,1578
la Marina de Port,2411
la Marina de Port,1716
la Marina de Port,1489
la Marina de Port,1517
la Marina de Port,1539
la Marina de Port,2261
la Marina de Port,2403
la Marina de Port,1027
la Marina de Port,2469
la Marina de Port,2431
la Marina de Port,958
la Marina de Port,2549
la Font de la Guatlla,1466
la Font de la Guatlla,1403
la Font de la Guatlla,1388
la Font de la Guatlla,1618
la Font de la Guatlla,1885
la Font de la Guatlla,1060
la Font de la Guatlla,1419
Hostafrancs,1766
Hostafrancs,1327
Hostafrancs,1661
Hostafrancs,1642
Hostafrancs,1964
Hostafrancs,1325
Hostafrancs,2215
Hostafrancs,1638
Hostafrancs,1623
Hostafrancs,941
la Bordeta,1466
la Bordeta,1743
la Bordeta,1205
la Bordeta,1406
la Bordeta,1140
la Bordeta,1540
la Bordeta,1946
la Bordeta,1205
la Bordeta,1344
la Bordeta,2317
la Bordeta,1765
la Bordeta,1178
la Bordeta,1196
Sants - Badal,1354
Sants - Badal,1349
Sants - Badal,1447
Sants - Badal,1579
Sants - Badal,1822
Sants - Badal,1752
Sants - Badal,1102
Sants - Badal,1338
Sants - Badal,1752
Sants - Badal,1827
Sants - Badal,1541
Sants - Badal,1967
Sants - Badal,1903
Sants - Badal,1393
Sants - Badal,1414
Sants - Badal,1363
Sants,1241
Sants,1444
Sants,1444
Sants,1254
Sants,998
Sants,1485
Sants,1216
Sants,1507
Sants,1230
Sants,1634
Sants,1589
Sants,1690
Sants,1445
Sants,988
Sants,1328
Sants,4276
Sants,1305
Sants,1148
Sants,1431
Sants,1191
Sants,1273
Sants,1648
Sants,1664
Sants,1541
Sants,1493
Sants,1295
Sants,1847
Sants,1605
Sants,1469
les Corts,1258
les Corts,1917
les Corts,1025
les Corts,988
les Corts,1225
les Corts,1100
les Corts,1062
les Corts,1001
les Corts,1461
les Corts,898
les Corts,1740
les Corts,1376
les Corts,1208
les Corts,820
les Corts,1879
les Corts,1102
les Corts,1195
les Corts,1511
les Corts,1335
les Corts,1488
les Corts,1279
les Corts,1615
les Corts,1045
les Corts,1032
les Corts,1171
les Corts,1203
les Corts,1338
les Corts,1317
les Corts,1116
les Corts,1844
les Corts,1896
les Corts,1525
les Corts,1147
les Corts,1468
les Corts,1358
