neighborhood,population,sex
el Raval,606,1
el Raval,705,2
el Raval,704,1
el Raval,785,2
el Raval,1636,1
el Raval,2025,2
el Raval,1340,1
el Raval,1632,2
el Raval,1140,1
el Raval,1308,2
el Raval,704,1
el Raval,927,2
el Raval,804,1
el Raval,1211,2
el Raval,1361,1
el Raval,2036,2
el Raval,1016,1
el Raval,1228,2
el Raval,1126,1
el Raval,1375,2
el Raval,1478,1
el Raval,1862,2
el Raval,954,1
el Raval,992,2
el Raval,760,1
el Raval,711,2
el Raval,954,1
el Raval,1200,2
el Raval,1151,1
el Raval,1204,2
el Raval,1068,1
el Raval,1091,2
el Raval,1298,1
el Raval,1296,2
el Raval,765,1
el Raval,803,2
el Raval,1373,1
el Raval,1632,2
el Raval,1158,1
el Raval,1079,2
el Raval,1070,1
el Raval,1120,2
el Barri Gotic,736,1
el Barri Gotic,834,2
el Barri Gotic,1056,1
el Barri Gotic,1042,2
el Barri Gotic,683,1
el Barri Gotic,704,2
el Barri Gotic,1855,1
el Barri Gotic,6835,2
el Barri Gotic,794,1
el Barri Gotic,770,2
el Barri Gotic,1009,1
el Barri Gotic,950,2
el Barri Gotic,723,1
el Barri Gotic,758,2
el Barri Gotic,1237,1
el Barri Gotic,1258,2
el Barri Gotic,750,1
el Barri Gotic,856,2
la Barceloneta,918,1
la Barceloneta,944,2
la Barceloneta,553,1
la Barceloneta,578,2
la Barceloneta,488,1
la Barceloneta,474,2
la Barceloneta,621,1
la Barceloneta,634,2
la Barceloneta,628,1
la Barceloneta,566,2
la Barceloneta,726,1
la Barceloneta,655,2
la Barceloneta,726,1
la Barceloneta,811,2
la Barceloneta,687,1
la Barceloneta,688,2
la Barceloneta,554,1
la Barceloneta,535,2
la Barceloneta,801,1
la Barceloneta,776,2
la Barceloneta,945,1
la Barceloneta,817,2
"Sant Pere, Santa Caterina i la Ribera",791,1
"Sant Pere, Santa Caterina i la Ribera",838,2
"Sant Pere, Santa Caterina i la Ribera",747,1
"Sant Pere, Santa Caterina i la Ribera",678,2
"Sant Pere, Santa Caterina i la Ribera",1006,1
"Sant Pere, Santa Caterina i la Ribera",1006,2
"Sant Pere, Santa Caterina i la Ribera",862,1
"Sant Pere, Santa Caterina i la Ribera",930,2
"Sant Pere, Santa Caterina i la Ribera",932,1
"Sant Pere, Santa Caterina i la Ribera",849,2
"Sant Pere, Santa Caterina i la Ribera",1095,1
"Sant Pere, Santa Caterina i la Ribera",1044,2
"Sant Pere, Santa Caterina i la Ribera",799,1
"Sant Pere, Santa Caterina i la Ribera",721,2
"Sant Pere, Santa Caterina i la Ribera",764,1
"Sant Pere, Santa Caterina i la Ribera",780,2
"Sant Pere, Santa Caterina i la Ribera",908,1
"Sant Pere, Santa Caterina i la Ribera",955,2
"Sant Pere, Santa Caterina i la Ribera",1265,1
"Sant Pere, Santa Caterina i la Ribera",1593,2
"Sant Pere, Santa Caterina i la Ribera",969,1
"Sant Pere, Santa Caterina i la Ribera",893,2
"Sant Pere, Santa Caterina i la Ribera",619,1
"Sant Pere, Santa Caterina i la Ribera",649,2
"Sant Pere, Santa Caterina i la Ribera",674,1
"Sant Pere, Santa Caterina i la Ribera",642,2
el Fort Pienc,648,1
el Fort Pienc,631,2
el Fort Pienc,1613,1
el Fort Pienc,1943,2
el Fort Pienc,644,1
el Fort Pienc,501,2
el Fort Pienc,785,1
el Fort Pienc,763,2
el Fort Pienc,1123,1
el Fort Pienc,950,2
el Fort Pienc,896,1
el Fort Pienc,779,2
el Fort Pienc,691,1
el Fort Pienc,558,2
el Fort Pienc,1023,1
el Fort Pienc,895,2
el Fort Pienc,978,1
el Fort Pienc,844,2
el Fort Pienc,654,1
el Fort Pienc,582,2
el Fort Pienc,571,1
el Fort Pienc,548,2
el Fort Pienc,806,1
el Fort Pienc,757,2
el Fort Pienc,602,1
el Fort Pienc,580,2
el Fort Pienc,702,1
el Fort Pienc,686,2
el Fort Pienc,811,1
el Fort Pienc,755,2
el Fort Pienc,1016,1
el Fort Pienc,847,2
el Fort Pienc,1042,1
el Fort Pienc,900,2
el Fort Pienc,990,1
el Fort Pienc,835,2
el Fort Pienc,1055,1
el Fort Pienc,937,2
el Fort Pienc,793,1
el Fort Pienc,711,2
la Sagrada Familia,798,1
la Sagrada Familia,709,2
la Sagrada Familia,684,1
la Sagrada Familia,660,2
la Sagrada Familia,574,1
la Sagrada Familia,470,2
la Sagrada Familia,640,1
la Sagrada Familia,520,2
la Sagrada Familia,606,1
la Sagrada Familia,558,2
la Sagrada Familia,1202,1
la Sagrada Familia,977,2
la Sagrada Familia,1113,1
la Sagrada Familia,967,2
la Sagrada Familia,1142,1
la Sagrada Familia,951,2
la Sagrada Familia,692,1
la Sagrada Familia,583,2
la Sagrada Familia,730,1
la Sagrada Familia,620,2
la Sagrada Familia,567,1
la Sagrada Familia,472,2
la Sagrada Familia,629,1
la Sagrada Familia,493,2
la Sagrada Familia,655,1
la Sagrada Familia,567,2
la Sagrada Familia,675,1
la Sagrada Familia,528,2
la Sagrada Familia,715,1
la Sagrada Familia,581,2
la Sagrada Familia,661,1
la Sagrada Familia,528,2
la Sagrada Familia,627,1
la Sagrada Familia,583,2
la Sagrada Familia,815,1
la Sagrada Familia,744,2
la Sagrada Familia,967,1
la Sagrada Familia,754,2
la Sagrada Familia,887,1
la Sagrada Familia,814,2
la Sagrada Familia,922,1
la Sagrada Familia,757,2
la Sagrada Familia,865,1
la Sagrada Familia,704,2
la Sagrada Familia,784,1
la Sagrada Familia,726,2
la Sagrada Familia,718,1
la Sagrada Familia,595,2
la Sagrada Familia,625,1
la Sagrada Familia,534,2
la Sagrada Familia,1041,1
la Sagrada Familia,916,2
la Sagrada Familia,1037,1
la Sagrada Familia,925,2
la Sagrada Familia,708,1
la Sagrada Familia,592,2
la Sagrada Familia,1124,1
la Sagrada Familia,977,2
la Sagrada Familia,893,1
la Sagrada Familia,758,2
la Sagrada Familia,1032,1
la Sagrada Familia,911,2
la Sagrada Familia,970,1
la Sagrada Familia,846,2
la Sagrada Familia,994,1
la Sagrada Familia,873,2
la Sagrada Familia,1026,1
la Sagrada Familia,853,2
la Dreta de l'Eixample,978,1
la Dreta de l'Eixample,861,2
la Dreta de l'Eixample,799,1
la Dreta de l'Eixample,677,2
la Dreta de l'Eixample,682,1
la Dreta de l'Eixample,589,2
la Dreta de l'Eixample,726,1
la Dreta de l'Eixample,650,2
la Dreta de l'Eixample,941,1
