neighborhood,female_percentage
Baro de Viver,48.92574444025632
Can Baro,47.22103004291846
Can Peguera,46.68171557562077
Canyelles,47.39468662850433
Ciutat Meridiana,48.99569583931133
Diagonal Mar i el Front Maritim del Poblenou,48.744089834515364
Horta,46.825877740153274
Hostafrancs,47.969196373121356
Montbau,45.013687915526006
Navas,46.688192295618634
Pedralbes,46.59552845528455
Porta,47.00316592315441
Provençals del Poblenou,47.90653764455983
Sant Andreu,47.22713610991842
Sant Antoni,47.66666666666667
Sant Genis dels Agudells,47.244414353419096
Sant Gervasi - Galvany,45.00908207662738
Sant Gervasi - la Bonanova,46.10914408866995
Sant Marti de Provençals,46.78409394182012
"Sant Pere, Santa Caterina i la Ribera",50.31944021904472
Sants,48.258888710822134
Sants - Badal,46.837730393928446
Sarria,46.533973919011665
Torre Baro,49.98289428669175
Vallbona,48.89364739471806
Vallcarca i els Penitents,46.59111791730475
"Vallvidrera, el Tibidabo i les Planes",49.47478991596639
Verdun,46.52157015157404
Vilapicina i la Torre Llobeta,45.897584541062805
el Baix Guinardo,46.30059592910765
el Barri Gotic,61.29978118161925
el Besos i el Maresme,52.3663654464696
el Bon Pastor,49.96358339402768
el Camp d'en Grassot i Gracia Nova,45.91253677302557
el Camp de l'Arpa del Clot,46.90509295020341
el Carmel,47.54308764209754
el Clot,47.845584663104
el Coll,46.69614984391259
el Congres i els Indians,46.75922743831191
el Fort Pienc,47.84571684855734
el Guinardo,46.77829872739451
el Parc i la Llacuna del Poblenou,48.353650873444764
el Poble-sec,49.18664809471694
el Poblenou,48.63561070587893
el Putxet i el Farro,45.79470419529114
el Raval,53.85721327637201
el Turo de la Peira,46.812059804769554
l'Antiga Esquerra de l'Eixample,47.300562189285884
la Barceloneta,49.441322314049586
la Bordeta,47.71991157266979
la Clota,52.00573065902579
la Dreta de l'Eixample,46.85401923425875
la Font d'en Fargues,47.62756443976854
la Font de la Guatlla,47.485105967379624
la Guineueta,46.20423134866051
la Marina de Port,48.08632445645182
la Marina del Prat Vermell,51.54867256637168
la Maternitat i Sant Ramon,46.60230849947534
la Nova Esquerra de l'Eixample,46.73608952440161
la Prosperitat,46.84382909036772
la Sagrada Familia,46.09692508243233
la Sagrera,46.82426948051948
la Salut,46.39910813823857
la Teixonera,48.12354699435403
la Trinitat Nova,48.00734137388569
la Trinitat Vella,50.8988870921716
la Vall d'Hebron,46.57788267026298
la Verneda i la Pau,47.357455378845756
la Vila Olimpica del Poblenou,49.12187333688132
la Vila de Gracia,45.7190423339147
les Corts,46.26820190235727
les Roquetes,48.221940469721666
les Tres Torres,46.735143066764486
