neighborhood,population
Baro de Viver,2653
Can Baro,9320
Can Peguera,2215
Canyelles,6813
Ciutat Meridiana,11152
Diagonal Mar i el Front Maritim del Poblenou,13536
el Baix Guinardo,25842
el Barri Gotic,22850
el Besos i el Maresme,26116
el Bon Pastor,13730
el Camp de l'Arpa del Clot,38838
el Camp d'en Grassot i Gracia Nova,35352
el Carmel,32724
el Clot,26759
el Coll,7688
el Congres i els Indians,14549
el Guinardo,37325
el Parc i la Llacuna del Poblenou,15914
el Poblenou,34411
el Raval,48688
el Turo de la Peira,16186
Horta,28055
Hostafrancs,16102
la Barceloneta,15125
la Bordeta,19451
la Clota,698
la Font de la Guatlla,10239
la Font d'en Fargues,9505
la Guineueta,15267
la Marina de Port,31092
la Maternitat i Sant Ramon,23825
la Prosperitat,26868
la Sagrera,29568
la Salut,13455
la Teixonera,12044
la Trinitat Nova,7628
la Trinitat Vella,10513
la Vall d'Hebron,5932
la Verneda i la Pau,28798
la Vila de Gracia,50456
les Corts,45943
les Roquetes,16563
Montbau,5114
Navas,22299
Pedralbes,11808
Porta,27796
Provençals del Poblenou,21185
Sant Genis dels Agudells,7385
Sant Marti de Provençals,26229
"Sant Pere, Santa Caterina i la Ribera",23009
Sants,43679
Torre Baro,2923
Vallbona,1401
Vallcarca i els Penitents,16325
Verdun,12865
Vilapicina i la Torre Llobeta,25875
